Ville,Température (°C),Météo
Mont Saint Michel,16,Clouds
Saint Malo,16,Rain
Bayeux,17,Clouds
Le Havre,16,Clouds
Rouen,18,Clouds
Paris,19,Clouds
Amiens,18,Clouds
Lille,16,Clouds
Strasbourg,15,Rain
Chateau du Haut Koenigsbourg,11,Clouds
Colmar,13,Clouds
Eguisheim,13,Clouds
Besancon,18,Clouds
Dijon,18,Clear
Annecy,18,Clouds
Grenoble,20,Clouds
Lyon,21,Clear
Gorges du Verdon,19,Clouds
Bormes les Mimosas,18,Clouds
Cassis,21,Clouds
Marseille,21,Clear
Aix en Provence,21,Clouds
Avignon,22,Clear
Uzes,21,Clouds
Nimes,21,Clear
Aigues Mortes,17,Clear
Saintes Maries de la mer,21,Clouds
Collioure,21,Clouds
Carcassonne,23,Clear
Ariege,17,Clouds
Toulouse,23,Clouds
Montauban,23,Clouds
Biarritz,25,Clouds
Bayonne,25,Clouds
La Rochelle,15,Clouds
